id,material_class,sheet_title,table_heading,table_subheading,product_code,material,qty_basis,a1_a3_CO2,a1_a3_energy_total,a1_a3_energy_non_renewable,a1_a3_energy_renewable,notes,data_quality,density,area_density,linear_density,mass_per_unit
18,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - Allied Concrete",,PR_20_31_16_1_4_1_2,"Concrete, 17.5 MPa, in-situ, no reinforcement, (OPC) (Allied Concrete) (North Island, average)",kg,0.11,0.59,0.55,0.03,"ci4, ci10-",A,2340,0,0,0
19,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - Allied Concrete",,PR_20_31_16_1_4_1_3,"Concrete, 17.5 MPa, in-situ, no reinforcement, (OPC) (Allied Concrete) (South Island, average)",kg,0.1,0.51,0.47,0.04,"ci4, ci10-",A,2340,0,0,0
20,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_1_5_1_1_1,"Concrete, 17.5 MPa, in-situ, no reinforcement, (OPC) (Firth) (Auckland)",kg,0.09,0.62,0.13,0.49,"ci2, ci10-",A,2312.5,0,0,0
21,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_1_5_1_1_2,"Concrete, 17.5 MPa, in-situ, no reinforcement, (OPC) (Firth) (Wellington)",kg,0.09,0.57,0.11,0.45,"ci2, ci10-",A,2271,0,0,0
22,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_1_5_1_1_3,"Concrete, 17.5 MPa, in-situ, no reinforcement, (OPC) (Firth) (Christchurch)",kg,0.08,0.63,0.13,0.5,"ci2, ci10-",A,2289.68,0,0,0
23,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_1_5_1_2_1,"Concrete, 17.5 MPa, in-situ, no reinforcement, (OPC) (Firth) (North Island, made with cement from Golden Bay Cement, average)",kg,0.09,0.62,0.12,0.5,"ci2, ci10-",A,2303,0,0,0
24,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_1_5_1_3_1,"Concrete, 17.5 MPa, in-situ, no reinforcement, (OPC) (Firth) (South Island, made with cement from Golden Bay Cement, average)",kg,0.09,0.62,0.12,0.5,"ci2, ci10-",A,2340,0,0,0
25,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_1_5_1_3_2,"Concrete, 17.5 MPa, in-situ, no reinforcement, (OPC) (Firth) (South Island, made with cement from Holcim NZ, average)",kg,0.1,0.47,0.06,0.42,"ci2, ci10-",A,2348,0,0,0
26,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_1_5_2_1_1,"Concrete, 17.5 MPa, in-situ, no reinforcement, (EC20) (Firth) (Auckland)",kg,0.09,0.65,0.13,0.52,"ci5, ci6-",A,2312.5,0,0,0
27,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_1_5_2_1_2,"Concrete, 17.5 MPa, in-situ, no reinforcement, (EC20) (Firth) (Wellington)",kg,0.1,0.69,0.14,0.55,"ci5, ci6-",A,2252,0,0,0
28,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_1_5_2_1_3,"Concrete, 17.5 MPa, in-situ, no reinforcement, (EC20) (Firth) (Christchurch)",kg,0.09,0.65,0.13,0.52,"ci5, ci6-",A,2289.68,0,0,0
29,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_1_5_2_2,"Concrete, 17.5 MPa, in-situ, no reinforcement, (EC20) (Firth) (NZ, average)",kg,0.09,0.65,0.13,0.52,"ci5, ci6-",A,2299.6,0,0,0
30,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_1_5_3_1_1,"Concrete, 17.5 MPa, in-situ, no reinforcement, (EC30) (Firth) (Auckland)",kg,0.08,0.61,0.12,0.5,"ci5, ci7-",A,2290.98,0,0,0
31,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_1_5_3_1_2,"Concrete, 17.5 MPa, in-situ, no reinforcement, (EC30) (Firth) (Wellington)",kg,0.08,0.64,0.13,0.51,"ci5, ci7-",A,2226.59,0,0,0
32,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_1_5_3_1_3,"Concrete, 17.5 MPa, in-situ, no reinforcement, (EC30) (Firth) (Christchurch)",kg,0.08,0.63,0.13,0.5,"ci5, ci7-",A,2279.95,0,0,0
33,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_1_5_3_2,"Concrete, 17.5 MPa, in-situ, no reinforcement, (EC30) (Firth) (NZ, average)",kg,0.08,0.62,0.12,0.5,"ci5, ci7-",A,2281.23,0,0,0
34,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_1_5_4_1_3,"Concrete, 17.5 MPa, in-situ, no reinforcement, (EC40) (Firth) (Christchurch)",kg,0.07,0.59,0.12,0.47,"ci5, ci8-",A,2261.54,0,0,0
35,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_1_5_4_2,"Concrete, 17.5 MPa, in-situ, no reinforcement, (EC40) (Firth) (NZ, average)",kg,0.07,0.59,0.12,0.47,"ci5, ci8-",A,2261.54,0,0,0
36,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - generic",,PR_20_31_16_1_1_1_1,"Concrete, 17.5 MPa, in-situ, no reinforcement, (OPC)",kg,0.11,0.63,0.59,0.04,"ci3, ci10",F,2340,0,0,0
37,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - generic",,PR_20_31_16_1_1_1_2_1,"Concrete, 17.5 MPa, in-situ, no reinforcement, (25% GGBS)",kg,0.09,0.59,0.55,0.04,"ci3, ci9",F,2340,0,0,0
38,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - generic",,PR_20_31_16_1_1_1_2_2,"Concrete, 17.5 MPa, in-situ, no reinforcement, (50% GGBS)",kg,0.07,0.56,0.52,0.04,"ci3, ci9",F,2340,0,0,0
39,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - generic",,PR_20_31_16_1_1_1_2_3,"Concrete, 17.5 MPa, in-situ, no reinforcement, (75% GGBS)",kg,0.05,0.53,0.49,0.04,"ci3, ci9",F,2340,0,0,0
40,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - generic",,PR_20_31_16_1_1_1_3_1,"Concrete, 17.5 MPa, in-situ, no reinforcement, (20% PFA)",kg,0.09,0.57,0.53,0.04,"ci3, ci11",F,2340,0,0,0
41,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - generic",,PR_20_31_16_1_1_1_3_2,"Concrete, 17.5 MPa, in-situ, no reinforcement, (35% PFA)",kg,0.08,0.52,0.48,0.04,"ci3, ci11",F,2340,0,0,0
42,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",50 kg/m- steel reinforcing,PR_20_31_16_1_2_1_1,"Reinforced concrete, 17.5 MPa, in-situ, inc. 50 kg/m- steel reinforcing, (OPC)",kg,0.19,1.79,1.63,0.16,"ci3, ci10",F,2375.1,0,0,0
43,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",50 kg/m- steel reinforcing,PR_20_31_16_1_2_1_2_1,"Reinforced concrete, 17.5 MPa, in-situ, inc. 50 kg/m- steel reinforcing, (25% GGBS)",kg,0.17,1.76,1.6,0.16,"ci3, ci9",F,2375.1,0,0,0
44,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",50 kg/m- steel reinforcing,PR_20_31_16_1_2_1_2_2,"Reinforced concrete, 17.5 MPa, in-situ, inc. 50 kg/m- steel reinforcing, (50% GGBS)",kg,0.15,1.73,1.57,0.16,"ci3, ci9",F,2375.1,0,0,0
45,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",50 kg/m- steel reinforcing,PR_20_31_16_1_2_1_2_3,"Reinforced concrete, 17.5 MPa, in-situ, inc. 50 kg/m- steel reinforcing, (75% GGBS)",kg,0.13,1.69,1.53,0.16,"ci3, ci9",F,2375.1,0,0,0
46,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",50 kg/m- steel reinforcing,PR_20_31_16_1_2_1_3_1,"Reinforced concrete, 17.5 MPa, in-situ, inc. 50 kg/m- steel reinforcing, (20% PFA)",kg,0.17,1.73,1.57,0.16,"ci3, ci11",F,2375.1,0,0,0
47,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",50 kg/m- steel reinforcing,PR_20_31_16_1_2_1_3_2,"Reinforced concrete, 17.5 MPa, in-situ, inc. 50 kg/m- steel reinforcing, (35% PFA)",kg,0.16,1.69,1.53,0.16,"ci3, ci11",F,2375.1,0,0,0
48,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",100 kg/m- steel reinforcing,PR_20_31_16_1_2_2_1,"Reinforced concrete, 17.5 MPa, in-situ, inc. 100 kg/m- steel reinforcing, (OPC)",kg,0.27,2.92,2.64,0.28,"ci3, ci10",F,2410.19,0,0,0
49,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",100 kg/m- steel reinforcing,PR_20_31_16_1_2_2_2_1,"Reinforced concrete, 17.5 MPa, in-situ, inc. 100 kg/m- steel reinforcing, (25% GGBS)",kg,0.25,2.89,2.61,0.28,"ci3, ci9",F,2410.19,0,0,0
50,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",100 kg/m- steel reinforcing,PR_20_31_16_1_2_2_2_2,"Reinforced concrete, 17.5 MPa, in-situ, inc. 100 kg/m- steel reinforcing, (50% GGBS)",kg,0.23,2.86,2.58,0.28,"ci3, ci9",F,2410.19,0,0,0
51,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",100 kg/m- steel reinforcing,PR_20_31_16_1_2_2_2_3,"Reinforced concrete, 17.5 MPa, in-situ, inc. 100 kg/m- steel reinforcing, (75% GGBS)",kg,0.21,2.82,2.55,0.27,"ci3, ci9",F,2410.19,0,0,0
52,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",100 kg/m- steel reinforcing,PR_20_31_16_1_2_2_3_1,"Reinforced concrete, 17.5 MPa, in-situ, inc. 100 kg/m- steel reinforcing, (20% PFA)",kg,0.25,2.86,2.59,0.27,"ci3, ci11",F,2410.19,0,0,0
53,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",100 kg/m- steel reinforcing,PR_20_31_16_1_2_2_3_2,"Reinforced concrete, 17.5 MPa, in-situ, inc. 100 kg/m- steel reinforcing, (35% PFA)",kg,0.24,2.82,2.55,0.27,"ci3, ci11",F,2410.19,0,0,0
54,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",150 kg/m- steel reinforcing,PR_20_31_16_1_2_3_1,"Reinforced concrete, 17.5 MPa, in-situ, inc. 150 kg/m- steel reinforcing, (OPC)",kg,0.35,4.02,3.63,0.39,"ci3, ci10",F,2445.29,0,0,0
55,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",150 kg/m- steel reinforcing,PR_20_31_16_1_2_3_2_1,"Reinforced concrete, 17.5 MPa, in-situ, inc. 150 kg/m- steel reinforcing, (25% GGBS)",kg,0.33,3.99,3.6,0.39,"ci3, ci9",F,2445.29,0,0,0
56,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",150 kg/m- steel reinforcing,PR_20_31_16_1_2_3_2_2,"Reinforced concrete, 17.5 MPa, in-situ, inc. 150 kg/m- steel reinforcing, (50% GGBS)",kg,0.31,3.96,3.57,0.39,"ci3, ci9",F,2445.29,0,0,0
57,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",150 kg/m- steel reinforcing,PR_20_31_16_1_2_3_2_3,"Reinforced concrete, 17.5 MPa, in-situ, inc. 150 kg/m- steel reinforcing, (75% GGBS)",kg,0.29,3.92,3.54,0.39,"ci3, ci9",F,2445.29,0,0,0
58,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",150 kg/m- steel reinforcing,PR_20_31_16_1_2_3_3_1,"Reinforced concrete, 17.5 MPa, in-situ, inc. 150 kg/m- steel reinforcing, (20% PFA)",kg,0.33,3.96,3.57,0.39,"ci3, ci11",F,2445.29,0,0,0
59,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",150 kg/m- steel reinforcing,PR_20_31_16_1_2_3_3_2,"Reinforced concrete, 17.5 MPa, in-situ, inc. 150 kg/m- steel reinforcing, (35% PFA)",kg,0.32,3.92,3.53,0.38,"ci3, ci11",F,2445.29,0,0,0
60,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",200 kg/m- steel reinforcing,PR_20_31_16_1_2_4_1,"Reinforced concrete, 17.5 MPa, in-situ, inc. 200 kg/m- steel reinforcing, (OPC)",kg,0.42,5.09,4.59,0.5,"ci3, ci10",F,2480.38,0,0,0
61,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",200 kg/m- steel reinforcing,PR_20_31_16_1_2_4_2_1,"Reinforced concrete, 17.5 MPa, in-situ, inc. 200 kg/m- steel reinforcing, (25% GGBS)",kg,0.4,5.05,4.56,0.5,"ci3, ci9",F,2480.38,0,0,0
62,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",200 kg/m- steel reinforcing,PR_20_31_16_1_2_4_2_2,"Reinforced concrete, 17.5 MPa, in-situ, inc. 200 kg/m- steel reinforcing, (50% GGBS)",kg,0.38,5.02,4.53,0.5,"ci3, ci9",F,2480.38,0,0,0
63,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",200 kg/m- steel reinforcing,PR_20_31_16_1_2_4_2_3,"Reinforced concrete, 17.5 MPa, in-situ, inc. 200 kg/m- steel reinforcing, (75% GGBS)",kg,0.37,4.99,4.5,0.49,"ci3, ci9",F,2480.38,0,0,0
64,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",200 kg/m- steel reinforcing,PR_20_31_16_1_2_4_3_1,"Reinforced concrete, 17.5 MPa, in-situ, inc. 200 kg/m- steel reinforcing, (20% PFA)",kg,0.4,5.03,4.53,0.5,"ci3, ci11",F,2480.38,0,0,0
65,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, with reinforcement - generic",200 kg/m- steel reinforcing,PR_20_31_16_1_2_4_3_2,"Reinforced concrete, 17.5 MPa, in-situ, inc. 200 kg/m- steel reinforcing, (35% PFA)",kg,0.39,4.99,4.49,0.49,"ci3, ci11",F,2480.38,0,0,0
66,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Allied Concrete",,PR_20_31_16_2_4_1_1_1,"Concrete, 20 MPa, in-situ, no reinforcement, (OPC) (Allied Concrete) (Auckland)",kg,0.12,0.63,0.59,0.04,"ci1, ci10-",A,2350,0,0,0
67,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Allied Concrete",,PR_20_31_16_2_4_1_1_2,"Concrete, 20 MPa, in-situ, no reinforcement, (OPC) (Allied Concrete) (Wellington)",kg,0.11,0.48,0.45,0.03,"ci1, ci10-",A,2350,0,0,0
68,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Allied Concrete",,PR_20_31_16_2_4_1_1_3,"Concrete, 20 MPa, in-situ, no reinforcement, (OPC) (Allied Concrete) (Christchurch)",kg,0.1,0.45,0.42,0.03,"ci1, ci10-",A,2350,0,0,0
69,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Allied Concrete",,PR_20_31_16_2_4_1_2,"Concrete, 20 MPa, in-situ, no reinforcement, (OPC) (Allied Concrete) (North Island, average)",kg,0.12,0.61,0.57,0.04,"ci4, ci10-",A,2350,0,0,0
70,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Allied Concrete",,PR_20_31_16_2_4_1_3,"Concrete, 20 MPa, in-situ, no reinforcement, (OPC) (Allied Concrete) (South Island, average)",kg,0.11,0.54,0.51,0.04,"ci4, ci10-",A,2350,0,0,0
71,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_2_5_1_1_1,"Concrete, 20 MPa, in-situ, no reinforcement, (OPC) (Firth) (Auckland)",kg,0.1,0.65,0.13,0.52,"ci2, ci10-",A,2341,0,0,0
72,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_2_5_1_1_2,"Concrete, 20 MPa, in-situ, no reinforcement, (OPC) (Firth) (Wellington)",kg,0.09,0.59,0.12,0.47,"ci2, ci10-",A,2257,0,0,0
73,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_2_5_1_1_3,"Concrete, 20 MPa, in-situ, no reinforcement, (OPC) (Firth) (Christchurch)",kg,0.09,0.66,0.14,0.52,"ci2, ci10-",A,2298.61,0,0,0
74,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_2_5_1_2_1,"Concrete, 20 MPa, in-situ, no reinforcement, (OPC) (Firth) (North Island, made with cement from Golden Bay Cement, average)",kg,0.1,0.65,0.13,0.52,"ci2, ci10-",A,2310,0,0,0
75,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_2_5_1_3_1,"Concrete, 20 MPa, in-situ, no reinforcement, (OPC) (Firth) (South Island, made with cement from Golden Bay Cement, average)",kg,0.09,0.64,0.12,0.52,"ci2, ci10-",A,2338,0,0,0
76,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_2_5_1_3_2,"Concrete, 20 MPa, in-situ, no reinforcement, (OPC) (Firth) (South Island, made with cement from Holcim NZ, average)",kg,0.1,0.48,0.05,0.43,"ci2, ci10-",A,2345,0,0,0
77,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_2_5_2_1_1,"Concrete, 20 MPa, in-situ, no reinforcement, (EC20) (Firth) (Auckland)",kg,0.09,0.66,0.13,0.53,"-ci5, ci6",A,2341,0,0,0
78,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_2_5_2_1_2,"Concrete, 20 MPa, in-situ, no reinforcement, (EC20) (Firth) (Wellington)",kg,0.1,0.71,0.14,0.57,"ci5, ci6-",A,2251.33,0,0,0
79,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_2_5_2_1_3,"Concrete, 20 MPa, in-situ, no reinforcement, (EC20) (Firth) (Christchurch)",kg,0.09,0.66,0.14,0.53,"ci5, ci6-",A,2298.61,0,0,0
80,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_2_5_2_2,"Concrete, 20 MPa, in-situ, no reinforcement, (EC20) (Firth) (NZ, average)",kg,0.09,0.66,0.13,0.53,"ci5, ci6-",A,2319.32,0,0,0
81,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_2_5_3_1_1,"Concrete, 20 MPa, in-situ, no reinforcement, (EC30) (Firth) (Auckland)",kg,0.09,0.62,0.12,0.51,"ci5, ci7-",A,2317.88,0,0,0
82,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_2_5_3_1_2,"Concrete, 20 MPa, in-situ, no reinforcement, (EC30) (Firth) (Wellington)",kg,0.09,0.66,0.13,0.53,"ci5, ci7-",A,2227.41,0,0,0
83,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_2_5_3_1_3,"Concrete, 20 MPa, in-situ, no reinforcement, (EC30) (Firth) (Christchurch)",kg,0.09,0.66,0.13,0.52,"ci5, ci7-",A,2293.25,0,0,0
84,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_2_5_3_2,"Concrete, 20 MPa, in-situ, no reinforcement, (EC30) (Firth) (NZ, average)",kg,0.09,0.64,0.12,0.51,"ci5, ci7-",A,2301.44,0,0,0
85,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_2_5_4_1_1,"Concrete, 20 MPa, in-situ, no reinforcement, (EC40) (Firth) (Auckland)",kg,0.07,0.56,0.11,0.45,"ci5, ci8-",A,2299.16,0,0,0
86,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_2_5_4_1_3,"Concrete, 20 MPa, in-situ, no reinforcement, (EC40) (Firth) (Christchurch)",kg,0.07,0.6,0.12,0.48,"ci5, ci8-",A,2267.63,0,0,0
87,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_2_5_4_2,"Concrete, 20 MPa, in-situ, no reinforcement, (EC40) (Firth) (NZ, average)",kg,0.07,0.58,0.11,0.46,"-ci5, ci8-",A,2288.44,0,0,0
88,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - generic",,PR_20_31_16_2_1_1_1,"Concrete, 20 MPa, in-situ, no reinforcement, (OPC)",kg,0.11,0.65,0.6,0.05,"ci3, ci10",F,2350,0,0,0
89,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - generic",,PR_20_31_16_2_1_1_2_1,"Concrete, 20 MPa, in-situ, no reinforcement, (25% GGBS)",kg,0.09,0.61,0.57,0.04,"ci3, ci9",F,2350,0,0,0
90,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - generic",,PR_20_31_16_2_1_1_2_2,"Concrete, 20 MPa, in-situ, no reinforcement, (50% GGBS)",kg,0.07,0.58,0.54,0.04,"ci3, ci9",F,2350,0,0,0
